date_idx,date,CPIH excluding Energy,Output growth,Energy,Sonia
199701,01/01/1997 00:00,70.982,61.6,45.027,5.900454545
199702,01/02/1997 00:00,71.157,61.9,44.947,5.985
199703,01/03/1997 00:00,71.332,61.8,44.748,5.965068421
199704,01/04/1997 00:00,71.682,62.6,44.542,5.961831818
199705,01/05/1997 00:00,71.992,62.1,44.515,6.21538
199706,01/06/1997 00:00,72.104,62.5,44.576,6.222661905
199707,01/07/1997 00:00,71.828,62.8,45.374,6.519173913
199708,01/08/1997 00:00,72.118,62.8,45.846,6.94882
199709,01/09/1997 00:00,72.416,63,45.52,6.977181818
199710,01/10/1997 00:00,72.487,63.4,45.354,7.146226087
199711,01/11/1997 00:00,72.54,63.6,45.216,7.22691
199712,01/12/1997 00:00,72.689,64.2,45.007,7.137861905
199801,01/01/1998 00:00,72.365,64.1,44.669,7.267890476
199802,01/02/1998 00:00,72.609,64.4,44.542,7.34063
199803,01/03/1998 00:00,72.822,64.2,44.459,7.403313636
199804,01/04/1998 00:00,73.159,64.8,45.703,7.25185
199805,01/05/1998 00:00,73.538,64.6,45.65,7.259563158
199806,01/06/1998 00:00,73.456,64.6,45.406,7.140936364
199807,01/07/1998 00:00,73.157,64.7,45.466,7.328269565
199808,01/08/1998 00:00,73.411,64.9,45.45,7.5309
199809,01/09/1998 00:00,73.737,64.9,45.364,7.279013636
199810,01/10/1998 00:00,73.758,65.2,45.389,7.553436364
199811,01/11/1998 00:00,73.877,65.3,45.192,6.857747619
199812,01/12/1998 00:00,74.168,65.5,44.83,6.374961905
199901,01/01/1999 00:00,73.901,65.6,44.656,5.992205
199902,01/02/1999 00:00,74.087,65.7,44.555,5.769335
199903,01/03/1999 00:00,74.29,65.8,45.892,5.566504348
199904,01/04/1999 00:00,74.556,65.5,47.098,5.32949
199905,01/05/1999 00:00,74.738,66,47.021,5.268884211
199906,01/06/1999 00:00,74.665,66.2,46.916,4.897181818
199907,01/07/1999 00:00,74.264,66.8,47.329,4.997004545
199908,01/08/1999 00:00,74.396,67,48.027,4.841928571
199909,01/09/1999 00:00,74.656,67.4,48.076,4.919013636
199910,01/10/1999 00:00,74.579,68,48.361,5.062333333
199911,01/11/1999 00:00,74.719,68.4,48.302,5.251340909
199912,01/12/1999 00:00,74.85,68.3,49.123,4.78135
200001,01/01/2000 00:00,74.337,69.2,49.022,5.35265
200002,01/02/2000 00:00,74.539,69.1,49.017,5.840809524
200003,01/03/2000 00:00,74.61,68.7,50.046,5.762004348
200004,01/04/2000 00:00,74.948,69,50.317,5.934733333
200005,01/05/2000 00:00,75.186,69.6,50.004,5.912204762
200006,01/06/2000 00:00,75.168,70.1,51.306,5.903172727
200007,01/07/2000 00:00,74.825,69.6,51.633,5.986704762
200008,01/08/2000 00:00,74.969,70.3,50.395,5.884622727
200009,01/09/2000 00:00,75.363,70.2,51.49,6.125880952
200010,01/10/2000 00:00,75.425,70.3,50.949,5.8135
200011,01/11/2000 00:00,75.584,70.6,51.508,5.981113636
200012,01/12/2000 00:00,75.667,70.8,50.916,5.738342105
200101,01/01/2001 00:00,75.257,70.9,49.514,5.920813636
200102,01/02/2001 00:00,75.454,70.9,49.66,5.84467
200103,01/03/2001 00:00,75.774,71.4,48.801,5.401686364
200104,01/04/2001 00:00,76.237,71.2,49.315,5.315915789
200105,01/05/2001 00:00,76.673,71.3,50.173,5.520266667
200106,01/06/2001 00:00,76.783,71.6,50.422,4.779619048
200107,01/07/2001 00:00,76.335,71.6,49.973,5.294263636
200108,01/08/2001 00:00,76.664,71.7,49.634,4.804627273
200109,01/09/2001 00:00,76.869,71.6,49.882,4.85262
200110,01/10/2001 00:00,76.838,71.8,49.122,4.59733913
200111,01/11/2001 00:00,76.862,71.8,47.622,3.576068182
200112,01/12/2001 00:00,77.077,71.8,47.112,4.584084211
200201,01/01/2002 00:00,76.837,72,47.794,3.768481818
200202,01/02/2002 00:00,76.96,71.8,47.819,4.057355
200203,01/03/2002 00:00,77.198,72,48.133,4.043145
200204,01/04/2002 00:00,77.568,72.6,49.416,3.751957143
200205,01/05/2002 00:00,77.766,72.9,49.31,3.927286364
200206,01/06/2002 00:00,77.788,71.2,49.062,3.500577778
200207,01/07/2002 00:00,77.581,72.5,48.911,3.861013043
200208,01/08/2002 00:00,77.772,72.8,48.905,4.137119048
200209,01/09/2002 00:00,77.943,73.1,49.336,3.871114286
200210,01/10/2002 00:00,78.072,73.1,49.387,4.088426087
200211,01/11/2002 00:00,78.05,73.3,49.218,3.6521
200212,01/12/2002 00:00,78.296,73.4,49.182,4.3953
200301,01/01/2003 00:00,77.83,73.7,49.722,3.804418182
200302,01/02/2003 00:00,78.06,73.9,50.21,3.72426
200303,01/03/2003 00:00,78.26,73.8,51.104,3.919614286
200304,01/04/2003 00:00,78.737,74.4,50.635,3.618975
200305,01/05/2003 00:00,78.81,74.3,49.739,3.68751
200306,01/06/2003 00:00,78.691,74.8,49.555,3.653504762
200307,01/07/2003 00:00,78.613,75.1,49.712,3.292347826
200308,01/08/2003 00:00,78.808,75.1,50.068,3.50528
200309,01/09/2003 00:00,78.965,75.5,50.301,3.517886364
200310,01/10/2003 00:00,79.071,75.9,50.329,3.355004348
200311,01/11/2003 00:00,79.038,75.7,50.416,3.548345
200312,01/12/2003 00:00,79.244,76,50.547,3.777752381
200401,01/01/2004 00:00,78.941,75.9,50.797,3.715857143
200402,01/02/2004 00:00,79.119,76,51.008,4.08732
200403,01/03/2004 00:00,79.198,76.1,51.555,3.903978261
200404,01/04/2004 00:00,79.542,76,52.13,3.891415
200405,01/05/2004 00:00,79.684,76.3,53.551,4.202968421
200406,01/06/2004 00:00,79.672,76.5,53.485,4.362763636
200407,01/07/2004 00:00,79.533,76.5,53.283,4.46225
200408,01/08/2004 00:00,79.676,76.4,53.689,4.629985714
200409,01/09/2004 00:00,79.71,76.6,53.944,4.731440909
200410,01/10/2004 00:00,79.852,76.9,55.09,4.729747619
200411,01/11/2004 00:00,79.933,76.9,55.977,4.740781818
200412,01/12/2004 00:00,80.327,77,55.918,4.761809524
200501,01/01/2005 00:00,80.038,77.8,55.427,4.759925
200502,01/02/2005 00:00,80.19,77.7,55.959,4.816025
200503,01/03/2005 00:00,80.458,77.3,56.841,4.761833333
200504,01/04/2005 00:00,80.722,78.4,58.204,4.812495238
200505,01/05/2005 00:00,80.972,78,58.041,4.70785
200506,01/06/2005 00:00,81.035,78.5,58.241,4.793495455
200507,01/07/2005 00:00,81.019,79,59.328,4.754633333
200508,01/08/2005 00:00,81.197,79,60.461,4.577477273
200509,01/09/2005 00:00,81.229,79.4,62.334,4.549945455
200510,01/10/2005 00:00,81.349,79.3,62.782,4.424647619
200511,01/11/2005 00:00,81.407,80.1,62.229,4.545827273
200512,01/12/2005 00:00,81.7,80.7,61.698,4.638095
200601,01/01/2006 00:00,81.37,80.4,62.558,4.482885714
200602,01/02/2006 00:00,81.585,80.3,63.004,4.42546
200603,01/03/2006 00:00,81.698,80.6,63.788,4.540230435
200604,01/04/2006 00:00,82.037,80.2,66.589,4.492811111
200605,01/05/2006 00:00,82.239,80.6,69.267,4.50927619
200606,01/06/2006 00:00,82.447,80.8,69.747,4.571195455
200607,01/07/2006 00:00,82.343,80.3,70.76,4.545852381
200608,01/08/2006 00:00,82.631,80.6,71.238,4.802586364
200609,01/09/2006 00:00,82.856,80.9,69.536,4.789204762
200610,01/10/2006 00:00,83.039,80.4,68.939,4.825513636
200611,01/11/2006 00:00,83.229,80.8,69.631,4.996763636
200612,01/12/2006 00:00,83.543,81.5,70.964,5.084352632
200701,01/01/2007 00:00,83.073,81.5,70.65,5.223072727
200702,01/02/2007 00:00,83.383,81.9,70.538,5.318275
200703,01/03/2007 00:00,83.697,82.1,71.29,5.303213636
200704,01/04/2007 00:00,83.991,82.3,71.937,5.291531579
200705,01/05/2007 00:00,84.207,82.7,72.35,5.477766667
200706,01/06/2007 00:00,84.422,82.9,72.113,5.609319048
200707,01/07/2007 00:00,84.059,82.9,71.482,5.843386364
200708,01/08/2007 00:00,84.411,83.5,70.948,5.912736364
200709,01/09/2007 00:00,84.504,83.7,70.643,5.82464
200710,01/10/2007 00:00,84.825,83.6,71.672,5.775052174
200711,01/11/2007 00:00,84.928,84.1,73.348,5.789213636
200712,01/12/2007 00:00,85.349,84.4,74.117,5.596405263
200801,01/01/2008 00:00,84.865,84.4,74.845,5.504918182
200802,01/02/2008 00:00,85.124,85,78.708,5.332238095
200803,01/03/2008 00:00,85.379,84,80.01,5.307826316
200804,01/04/2008 00:00,85.958,84.7,81.926,5.080013636
200805,01/05/2008 00:00,86.338,83.9,83.83,5.03135
200806,01/06/2008 00:00,86.722,83.8,86.054,5.0326
200807,01/07/2008 00:00,86.708,83.3,86.761,5.00986087
200808,01/08/2008 00:00,87.196,83.1,87.026,4.99704
200809,01/09/2008 00:00,87.264,82.1,91.806,4.892536364
200810,01/10/2008 00:00,87.308,81.9,89.158,4.411543478
200811,01/11/2008 00:00,87.505,80.8,85.74,2.784595
200812,01/12/2008 00:00,87.441,80.4,83.285,1.652504762
200901,01/01/2009 00:00,87.009,79.7,82.043,1.325971429
200902,01/02/2009 00:00,87.593,79.6,83.12,0.897335
200903,01/03/2009 00:00,87.787,79,82.116,0.522395455
200904,01/04/2009 00:00,88.024,79.5,82.322,0.409915
200905,01/05/2009 00:00,88.389,78.8,82.792,0.413273684
200906,01/06/2009 00:00,88.444,79.1,84.37,0.415804545
200907,01/07/2009 00:00,88.4,79.5,84.403,0.417308696
200908,01/08/2009 00:00,88.666,79,84.941,0.42199
200909,01/09/2009 00:00,88.625,79.2,85.832,0.430240909
200910,01/10/2009 00:00,88.722,79.4,85.562,0.447213636
200911,01/11/2009 00:00,88.83,79.5,86.765,0.450909524
200912,01/12/2009 00:00,89.188,79.8,86.889,0.449157143
201001,01/01/2010 00:00,88.937,79.2,88.081,0.4545
201002,01/02/2010 00:00,89.251,80.5,87.558,0.467245
201003,01/03/2010 00:00,89.589,81.2,88.773,0.471252174
201004,01/04/2010 00:00,89.979,80.9,89.973,0.472635
201005,01/05/2010 00:00,90.164,81.4,90.095,0.484178947
201006,01/06/2010 00:00,90.345,81.5,89.178,0.487004545
201007,01/07/2010 00:00,90.214,81.6,88.867,0.489981818
201008,01/08/2010 00:00,90.663,81.7,88.43,0.490971429
201009,01/09/2010 00:00,90.713,81.9,88.07,0.500968182
201010,01/10/2010 00:00,90.868,82.2,88.892,0.508271429
201011,01/11/2010 00:00,91.128,81.9,89.658,0.508568182
201012,01/12/2010 00:00,91.695,81.2,92.551,0.517319048
201101,01/01/2011 00:00,91.644,81.5,94.856,0.50591
201102,01/02/2011 00:00,92.166,81.9,95.765,0.50837
201103,01/03/2011 00:00,92.3,82,97.5,0.515430435
201104,01/04/2011 00:00,93.052,81.3,98.375,0.524005556
201105,01/05/2011 00:00,93.227,82.1,98.747,0.521665
201106,01/06/2011 00:00,93.189,82.1,98.467,0.531081818
201107,01/07/2011 00:00,93.219,82.2,98.06,0.5228
201108,01/08/2011 00:00,93.656,81.9,98.919,0.537963636
201109,01/09/2011 00:00,93.883,82,103.737,0.548559091
201110,01/10/2011 00:00,93.913,81.3,104.424,0.535804762
201111,01/11/2011 00:00,94.037,82.3,104.797,0.534722727
201112,01/12/2011 00:00,94.439,83,104.518,0.52005
201201,01/01/2012 00:00,94.036,83.3,104.767,0.515657143
201202,01/02/2012 00:00,94.547,82.8,104.884,0.499257143
201203,01/03/2012 00:00,94.76,82.9,105.648,0.489995455
201204,01/04/2012 00:00,95.223,82.5,106.435,0.486110526
201205,01/05/2012 00:00,95.337,83.7,104.701,0.4848
201206,01/06/2012 00:00,95.157,82.7,102.951,0.485884211
201207,01/07/2012 00:00,95.279,83.8,102.56,0.464554545
201208,01/08/2012 00:00,95.62,84.3,103.938,0.450045455
201209,01/09/2012 00:00,95.875,83.4,105.314,0.42707
201210,01/10/2012 00:00,96.349,83.7,104.978,0.433386957
201211,01/11/2012 00:00,96.5,83.9,104.984,0.425622727
201212,01/12/2012 00:00,96.742,83.6,107.016,0.430863158
201301,01/01/2013 00:00,96.354,83.5,106.922,0.409690909
201302,01/02/2013 00:00,96.786,84.2,109.077,0.426135
201303,01/03/2013 00:00,97.046,84.1,109.777,0.43532
201304,01/04/2013 00:00,97.324,84.3,108.697,0.439647619
201305,01/05/2013 00:00,97.621,84.5,107.414,0.4336
201306,01/06/2013 00:00,97.442,84.7,107.748,0.42516
201307,01/07/2013 00:00,97.396,84.9,108.133,0.430126087
201308,01/08/2013 00:00,97.744,85.1,108.82,0.427004762
201309,01/09/2013 00:00,98.053,85.2,108.782,0.429871429
201310,01/10/2013 00:00,98.237,85.7,107.182,0.431313043
201311,01/11/2013 00:00,98.356,85.7,106.571,0.429966667
201312,01/12/2013 00:00,98.454,85.4,110.555,0.421455
201401,01/01/2014 00:00,97.994,85.9,109.916,0.428709091
201402,01/02/2014 00:00,98.438,86.4,109.765,0.419655
201403,01/03/2014 00:00,98.662,86.8,109.459,0.415880952
201404,01/04/2014 00:00,99.044,86.9,109.052,0.42196
201405,01/05/2014 00:00,99.019,87.1,109.148,0.423345
201406,01/06/2014 00:00,99.2,87.5,109.231,0.425090476
201407,01/07/2014 00:00,98.94,87.9,109.457,0.428291304
201408,01/08/2014 00:00,99.352,87.9,108.756,0.42281
201409,01/09/2014 00:00,99.418,88.1,108.449,0.431854545
201410,01/10/2014 00:00,99.618,88.5,107.434,0.4308
201411,01/11/2014 00:00,99.484,88.4,106.319,0.43247
201412,01/12/2014 00:00,99.648,88.5,104.032,0.428
201501,01/01/2015 00:00,99.159,88.4,100.492,0.435485714
201502,01/02/2015 00:00,99.435,88.7,99.905,0.451115
201503,01/03/2015 00:00,99.571,88.8,100.697,0.4568
201504,01/04/2015 00:00,99.802,89,101.353,0.457405
201505,01/05/2015 00:00,99.933,89,102.054,0.461952632
201506,01/06/2015 00:00,99.974,88.9,102.38,0.456640909
201507,01/07/2015 00:00,99.895,89.3,102.028,0.45486087
201508,01/08/2015 00:00,100.256,89.2,100.401,0.45899
201509,01/09/2015 00:00,100.304,89.3,98.559,0.454368182
201510,01/10/2015 00:00,100.464,89.7,98.192,0.462159091
201511,01/11/2015 00:00,100.508,89.6,97.645,0.463561905
201512,01/12/2015 00:00,100.699,89.9,96.295,0.457461905
201601,01/01/2016 00:00,100.177,90,94.963,0.465855
201602,01/02/2016 00:00,100.446,90.5,94.279,0.465652381
201603,01/03/2016 00:00,100.768,90.3,94.384,0.464614286
201604,01/04/2016 00:00,100.9,91.2,95.627,0.466328571
201605,01/05/2016 00:00,101.022,90.9,96.963,0.463305
201606,01/06/2016 00:00,101.141,91.1,98.167,0.459759091
201607,01/07/2016 00:00,101.097,91.2,98.5,0.4577
201608,01/08/2016 00:00,101.451,91.4,97.797,0.247772727
201609,01/09/2016 00:00,101.663,91.9,98.47,0.213027273
201610,01/10/2016 00:00,101.711,91.6,99.946,0.212028571
201611,01/11/2016 00:00,101.891,92.1,100.596,0.210845455
201612,01/12/2016 00:00,102.324,92.8,100.592,0.212495
201701,01/01/2017 00:00,101.797,93,102.253,0.213509524
201702,01/02/2017 00:00,102.412,93.1,102.837,0.210645
201703,01/03/2017 00:00,102.772,93.2,102.581,0.20953913
201704,01/04/2017 00:00,103.307,93.6,102.334,0.21135
201705,01/05/2017 00:00,103.602,93.9,102.86,0.212633333
201706,01/06/2017 00:00,103.633,94.1,102.301,0.212072727
201707,01/07/2017 00:00,103.615,94.2,102.118,0.212366667
201708,01/08/2017 00:00,104.091,94.4,102.973,0.213154545
201709,01/09/2017 00:00,104.356,94.8,104.091,0.212342857
201710,01/10/2017 00:00,104.418,94.9,104.591,0.210972727
201711,01/11/2017 00:00,104.644,95.1,105.581,0.449272727
201712,01/12/2017 00:00,104.95,95.3,106.091,0.461915789
201801,01/01/2018 00:00,104.465,95.2,106.569,0.463122727
201802,01/02/2018 00:00,104.864,95.2,106.492,0.46341
201803,01/03/2018 00:00,105.045,95.1,105.937,0.463709524
201804,01/04/2018 00:00,105.481,95.1,106.889,0.461695
201805,01/05/2018 00:00,105.732,95.4,108.864,0.452861905
201806,01/06/2018 00:00,105.611,95.7,111.244,0.450652381
201807,01/07/2018 00:00,105.577,95.5,111.681,0.454531818
201808,01/08/2018 00:00,106.221,95.8,112.24,0.69105
201809,01/09/2018 00:00,106.271,95.9,113.845,0.701205
201810,01/10/2018 00:00,106.268,95.9,115.536,0.701082609
201811,01/11/2018 00:00,106.53,96,114.76,0.701695455
201812,01/12/2018 00:00,106.818,95.5,112.243,0.702615789
201901,01/01/2019 00:00,106.343,96,107.689,0.705254545
201902,01/02/2019 00:00,106.782,96.5,107.638,0.706145
201903,01/03/2019 00:00,106.943,96.4,108.186,0.705285714
201904,01/04/2019 00:00,107.285,96,114.79,0.708105
201905,01/05/2019 00:00,107.499,96.5,116.362,0.709404762
201906,01/06/2019 00:00,107.5,97.1,116.07,0.708535
201907,01/07/2019 00:00,107.581,97.2,115.464,0.709
201908,01/08/2019 00:00,107.927,97,115.845,0.710095238
201909,01/09/2019 00:00,108.066,97.4,115.464,0.709828571
201910,01/10/2019 00:00,108.083,97.3,112.511,0.710830435
201911,01/11/2019 00:00,108.349,97,112.089,0.71052381
