Date,CPI,Sonia,Import_CVM,Export_cvm,GDP,wages,date_idx
Jan-97,69.231,5.900454545,30089,36016,61.6,,
Feb-97,69.399,5.985,29909,35279,61.9,,
Mar-97,69.549,5.965068421,30864,34438,61.8,,
Apr-97,69.805,5.961831818,31679,36607,62.6,,
May-97,70.021,6.21538,31202,35468,62.1,,
Jun-97,70.168,6.222661905,32246,35135,62.5,,
Jul-97,69.943,6.519173913,31995,35762,62.8,,
Aug-97,70.305,6.94882,30867,34954,62.8,,
Sep-97,70.553,6.977181818,31337,35859,63,,
Oct-97,70.571,7.146226087,31867,36327,63.4,,
Nov-97,70.637,7.22691,31847,35852,63.6,,
Dec-97,70.708,7.137861905,32947,37826,64.2,,
Jan-98,70.254,7.267890476,31552,36596,64.1,,
Feb-98,70.498,7.34063,33016,36716,64.4,,
Mar-98,70.7,7.403313636,34147,37303,64.2,,
Apr-98,71.072,7.25185,33074,36730,64.8,,
May-98,71.449,7.259563158,33798,36736,64.6,,
Jun-98,71.343,7.140936364,34470,37092,64.6,,
Jul-98,70.952,7.328269565,33903,37175,64.7,,
Aug-98,71.238,7.5309,33539,36486,64.9,,
Sep-98,71.548,7.279013636,34300,36373,64.9,,
Oct-98,71.534,7.553436364,33472,36239,65.2,,
Nov-98,71.59,6.857747619,33877,36175,65.3,,
Dec-98,71.808,6.374961905,34137,36769,65.5,,
Jan-99,71.367,5.992205,34499,36022,65.6,,
Feb-99,71.489,5.769335,34528,36357,65.7,,
Mar-99,71.88,5.566504348,35866,37337,65.8,,
Apr-99,72.168,5.32949,34989,36509,65.5,,
May-99,72.382,5.268884211,35157,36817,66,,
Jun-99,72.306,4.897181818,36272,36917,66.2,,
Jul-99,71.877,4.997004545,36015,37851,66.8,,
Aug-99,72.097,4.841928571,37119,39377,67,,
Sep-99,72.387,4.919013636,36722,39660,67.4,,
Oct-99,72.33,5.062333333,37279,39637,68,,
Nov-99,72.435,5.251340909,37663,39908,68.4,,
Dec-99,72.615,4.78135,37183,39281,68.3,,
Jan-00,71.936,5.35265,37867,39860,69.2,,
Feb-00,72.159,5.840809524,37582,40156,69.1,,
Mar-00,72.338,5.762004348,37852,41061,68.7,,
Apr-00,72.573,5.934733333,38938,41213,69,,
May-00,72.771,5.912204762,38629,41415,69.6,,
Jun-00,72.876,5.903172727,39331,42370,70.1,,
Jul-00,72.508,5.986704762,40284,41107,69.6,,
Aug-00,72.526,5.884622727,39660,42592,70.3,,
Sep-00,73.083,6.125880952,39346,41950,70.2,,
Oct-00,73.05,5.8135,39927,42262,70.3,,
Nov-00,73.205,5.981113636,41707,43004,70.6,,
Dec-00,73.2,5.738342105,41673,43215,70.8,,
Jan-01,72.553,5.920813636,41948,44953,70.9,,
Feb-01,72.749,5.84467,41915,44533,70.9,,
Mar-01,72.995,5.401686364,42079,43944,71.4,6.1,200103
Apr-01,73.42,5.315915789,41793,42801,71.2,6.2,200104
May-01,73.98,5.520266667,41860,42266,71.3,5.1,200105
